,delta_perplexity,delta_plan_length,gpt3_plan_length,gt_plan_length,gpt3_perplexity,gt_perplexity
0,-0.004415467389637939,-1,7,8,-13.573328738524156,-13.568913271134518
1,0.0,0,6,6,-14.814509678970683,-14.814509678970683
2,0.34612754525409883,2,4,2,-13.458755446804894,-13.804882992058992
3,-0.05044497530429837,-3,3,6,-13.346352897393398,-13.2959079220891
4,0.02855961864933043,0,4,4,-14.060553080065453,-14.089112698714784
5,0.128986980416812,0,6,6,-14.279300883295946,-14.408287863712758
6,0.06838242432221442,0,4,4,-14.327300896749218,-14.395683321071433
7,-0.05644157481320278,0,4,4,-14.999644154088294,-14.943202579275091
8,-0.2843961706445235,-1,5,6,-13.72858914739356,-13.444192976749036
9,-0.5071918944114255,-2,4,6,-13.936776423549398,-13.429584529137973
10,-0.12077193422010168,0,6,6,-14.5417584303068,-14.420986496086698
11,-0.008905593757376096,-2,4,6,-14.391572639346123,-14.382667045588747
12,-0.4168177175311971,1,7,6,-14.071957583278417,-13.65513986574722
13,0.0,0,6,6,-14.541123345284396,-14.541123345284396
14,-0.2899845943029771,2,6,4,-13.976036341257497,-13.68605174695452
15,0.21505752300297942,-2,4,6,-13.57582924945487,-13.79088677245785
16,0.007478349975176712,4,6,2,-14.435822073370218,-14.443300423345395
17,0.0,0,2,2,-14.091997715378445,-14.091997715378445
18,-1.5726252122649118,0,2,2,-14.297976774828774,-12.725351562563862
19,-0.3023133171515777,-3,3,6,-13.166981878953102,-12.864668561801524
20,-0.1740393022326039,-2,4,6,-14.220344455053027,-14.046305152820423
21,-0.5181066007586193,4,6,2,-13.709126278874464,-13.191019678115845
22,0.3227742638424207,-3,3,6,-13.0497585232977,-13.37253278714012
23,0.02749955268933313,-2,2,4,-14.176679118722678,-14.204178671412011
24,-1.340310737825817,2,4,2,-14.774136764572022,-13.433826026746205
25,0.19068673269338987,-4,4,8,-12.826252203182143,-13.016938935875533
26,-0.5191766834671956,6,8,2,-14.090175765645073,-13.570999082177877
27,-0.08318280002334433,-2,2,4,-13.893842844824706,-13.810660044801361
28,-0.08676142565971645,-3,3,6,-13.823318583078873,-13.736557157419156
29,-0.3315647467274303,-2,4,6,-13.724987983069521,-13.393423236342091
30,-0.029979648534208536,0,6,6,-14.609790693968534,-14.579811045434326
31,0.5723440689363155,-1,7,8,-14.024775724808375,-14.59711979374469
32,-0.258507785775155,2,8,6,-14.748356475707997,-14.489848689932842
33,-0.12465964695326548,-2,6,8,-14.609113225713372,-14.484453578760107
34,0.07130488186530393,-2,6,8,-14.29780423862394,-14.369109120489243
35,-0.14295471841132823,0,8,8,-15.281695102577109,-15.13874038416578
36,-0.2361708901848214,6,8,2,-13.925630481756595,-13.689459591571774
37,0.23932663921434028,-3,3,6,-14.03365642682482,-14.27298306603916
38,-0.07453901599569157,-4,4,8,-13.676082515219848,-13.601543499224157
39,-0.04527889157179743,0,6,6,-14.338541561970487,-14.29326267039869
40,0.025727568280636604,2,8,6,-13.89152041198798,-13.917247980268616
41,-0.7153778509012394,3,7,4,-14.470544093946616,-13.755166243045377
42,-0.28611310045610416,-4,4,8,-14.399486511086042,-14.113373410629938
43,0.13303301828790026,0,4,4,-13.90006809352109,-14.03310111180899
44,-0.13933673689523296,0,8,8,-14.430462540003909,-14.291125803108676
45,-0.025411235505199414,0,8,8,-14.411518192075821,-14.386106956570622
46,-0.8142299405753821,2,6,4,-14.227455591500709,-13.413225650925327
47,0.6891217059771595,-3,5,8,-13.450505162136896,-14.139626868114055
48,-0.24912704037998346,2,6,4,-13.981924031663572,-13.732796991283589
49,-0.2635007839251209,-2,4,6,-14.72333594958516,-14.459835165660039
